Date,Cloud Agent ID,Automation ID,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-01-06T09:06:44.017Z","","","Included","gemini-3-pro-preview","No","0","47847","188755","525","237127","Included"
"2026-01-06T08:52:18.915Z","","","Included","gemini-3-pro-preview","No","0","224368","2234306","25037","2483711","Included"
"2026-01-06T08:39:20.851Z","","","Included","gemini-3-pro-preview","No","0","78867","964557","32518","1075942","Included"
"2026-01-06T08:32:02.182Z","","","Included","gemini-3-pro-preview","No","0","31358","47405","4263","83026","Included"
"2026-01-06T08:24:15.685Z","","","Included","claude-4.5-opus-high-thinking","No","64409","44","221283","14674","300410","Included"
"2026-01-05T20:43:45.179Z","","","Included","claude-4.5-opus-high-thinking","No","913","40","124622","1948","127523","Included"
"2026-01-05T20:41:12.080Z","","","Included","claude-4.5-opus-high-thinking","No","15377","131","1753735","2116","1771359","Included"
"2026-01-05T20:34:01.587Z","","","Included","claude-4.5-opus-high-thinking","No","109245","214","2461621","5749","2576829","Included"
"2026-01-05T20:22:56.887Z","","","Included","claude-4.5-opus-high-thinking","No","61465","256","1989574","7551","2058846","Included"
"2026-01-05T20:02:04.822Z","","","Included","claude-4.5-opus-high-thinking","No","51192","97","512554","4706","568549","Included"
"2026-01-05T19:55:40.469Z","","","Included","claude-4.5-opus-high-thinking","No","794","51","17903","483","19231","Included"
"2026-01-05T19:54:37.328Z","","","Included","claude-4.5-opus-high-thinking","No","858","7","17045","799","18709","Included"
"2026-01-05T19:52:33.880Z","","","Included","claude-4.5-opus-high-thinking","No","17045","8","0","775","17828","Included"
"2026-01-05T19:16:22.213Z","","","Included","claude-4.5-opus-high-thinking","No","6831","547","312396","1728","321502","Included"
"2026-01-05T19:12:58.798Z","","","Included","claude-4.5-opus-high-thinking","No","58687","561","115992","3055","178295","Included"
"2026-01-05T19:05:57.899Z","","","Included","claude-4.5-opus-high-thinking","No","53590","50","234353","5468","293461","Included"
"2026-01-05T18:22:18.953Z","","","Included","claude-4.5-opus-high-thinking","No","79477","74","379599","15467","474617","Included"
"2026-01-05T14:58:52.998Z","","","Included","gemini-3-pro-preview","No","0","4706","171098","630","176434","Included"
"2026-01-05T14:55:55.736Z","","","Included","gemini-3-pro-preview","No","0","18099","155213","1120","174432","Included"
"2026-01-05T14:52:57.202Z","","","Included","gemini-3-pro-preview","No","0","21208","387849","6579","415636","Included"
"2026-01-05T14:49:12.121Z","","","Included","gemini-3-pro-preview","No","0","32702","302691","7139","342532","Included"
"2026-01-05T14:45:13.926Z","","","Included","gemini-3-pro-preview","No","0","76292","474364","4629","555285","Included"
"2026-01-05T14:40:12.915Z","","","Included","gemini-3-pro-preview","No","0","17124","181394","4223","202741","Included"
"2026-01-05T14:36:00.003Z","","","Included","gemini-3-pro-preview","No","0","14566","173058","8358","195982","Included"
"2026-01-05T14:31:40.391Z","","","Included","gemini-3-pro-preview","No","0","23917","136596","7899","168412","Included"
"2026-01-05T14:26:16.003Z","","","Included","gemini-3-pro-preview","No","0","21241","138709","8109","168059","Included"
"2026-01-05T14:19:23.815Z","","","Included","gemini-3-pro-preview","No","0","39157","190406","8675","238238","Included"
"2026-01-03T19:35:26.093Z","","","Included","claude-4.5-opus-high-thinking","No","13865","28","13571","345","27809","Included"
"2026-01-02T05:23:28.775Z","","","Included","claude-4.5-opus-high-thinking","No","617","610","46776","3","48006","Included"
"2026-01-02T05:21:10.977Z","","","Included","claude-4.5-opus-high-thinking","No","46776","576","171649","5826","224827","Included"
"2026-01-02T04:47:45.800Z","","","Included","claude-4.5-opus-high-thinking","No","689","439","38097","608","39833","Included"
"2026-01-02T04:44:34.300Z","","","Included","claude-4.5-opus-high-thinking","No","14285","160","116841","4417","135703","Included"
"2026-01-02T04:38:44.172Z","","","Included","claude-4.5-opus-high-thinking","No","27267","45","40625","2727","70664","Included"
"2025-12-31T12:59:20.542Z","","","Included","claude-4.5-opus-high-thinking","No","5103","767","237519","2941","246330","Included"
"2025-12-31T12:55:41.916Z","","","Included","claude-4.5-opus-high-thinking","No","33976","586","309451","4082","348095","Included"
"2025-12-31T12:49:16.043Z","","","Included","claude-4.5-opus-high-thinking","No","425","488","37739","399","39051","Included"
"2025-12-31T12:46:35.269Z","","","Included","claude-4.5-opus-high-thinking","No","7288","656","341755","4373","354072","Included"
"2025-12-31T12:42:39.376Z","","","Included","claude-4.5-opus-high-thinking","No","362","255","30089","960","31666","Included"
"2025-12-31T12:41:01.900Z","","","Included","claude-4.5-opus-high-thinking","No","4516","455","110633","2105","117709","Included"
"2025-12-31T12:36:06.623Z","","","Included","claude-4.5-opus-high-thinking","No","14301","188","201226","5861","221576","Included"
"2025-12-31T11:21:08.577Z","","","Included","claude-4.5-opus-high-thinking","No","30396","68","63736","1569","95769","Included"
